chart_id,chart_group_id,style_id,window_start,window_end,number_of_years,image_path,source_kind
window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,4,data/generated/charts/development/window_2019_2022_style_01.png,derived_development_sample
window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,4,data/generated/charts/development/window_2019_2022_style_02.png,derived_development_sample
window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,4,data/generated/charts/development/window_2019_2022_style_03.png,derived_development_sample
window_2020_2023_style_01,window_2020_2023,style_01,2020,2023,4,data/generated/charts/development/window_2020_2023_style_01.png,derived_development_sample
window_2020_2023_style_02,window_2020_2023,style_02,2020,2023,4,data/generated/charts/development/window_2020_2023_style_02.png,derived_development_sample
window_2020_2023_style_03,window_2020_2023,style_03,2020,2023,4,data/generated/charts/development/window_2020_2023_style_03.png,derived_development_sample
window_2021_2024_style_01,window_2021_2024,style_01,2021,2024,4,data/generated/charts/development/window_2021_2024_style_01.png,derived_development_sample
window_2021_2024_style_02,window_2021_2024,style_02,2021,2024,4,data/generated/charts/development/window_2021_2024_style_02.png,derived_development_sample
window_2021_2024_style_03,window_2021_2024,style_03,2021,2024,4,data/generated/charts/development/window_2021_2024_style_03.png,derived_development_sample
window_2022_2025_style_01,window_2022_2025,style_01,2022,2025,4,data/generated/charts/development/window_2022_2025_style_01.png,derived_development_sample
window_2022_2025_style_02,window_2022_2025,style_02,2022,2025,4,data/generated/charts/development/window_2022_2025_style_02.png,derived_development_sample
window_2022_2025_style_03,window_2022_2025,style_03,2022,2025,4,data/generated/charts/development/window_2022_2025_style_03.png,derived_development_sample
window_2019_2023_style_01,window_2019_2023,style_01,2019,2023,5,data/generated/charts/development/window_2019_2023_style_01.png,derived_development_sample
window_2019_2023_style_02,window_2019_2023,style_02,2019,2023,5,data/generated/charts/development/window_2019_2023_style_02.png,derived_development_sample
window_2019_2023_style_03,window_2019_2023,style_03,2019,2023,5,data/generated/charts/development/window_2019_2023_style_03.png,derived_development_sample
window_2020_2024_style_01,window_2020_2024,style_01,2020,2024,5,data/generated/charts/development/window_2020_2024_style_01.png,derived_development_sample
window_2020_2024_style_02,window_2020_2024,style_02,2020,2024,5,data/generated/charts/development/window_2020_2024_style_02.png,derived_development_sample
window_2020_2024_style_03,window_2020_2024,style_03,2020,2024,5,data/generated/charts/development/window_2020_2024_style_03.png,derived_development_sample
window_2021_2025_style_01,window_2021_2025,style_01,2021,2025,5,data/generated/charts/development/window_2021_2025_style_01.png,derived_development_sample
window_2021_2025_style_02,window_2021_2025,style_02,2021,2025,5,data/generated/charts/development/window_2021_2025_style_02.png,derived_development_sample
window_2021_2025_style_03,window_2021_2025,style_03,2021,2025,5,data/generated/charts/development/window_2021_2025_style_03.png,derived_development_sample
window_2019_2024_style_01,window_2019_2024,style_01,2019,2024,6,data/generated/charts/development/window_2019_2024_style_01.png,derived_development_sample
window_2019_2024_style_02,window_2019_2024,style_02,2019,2024,6,data/generated/charts/development/window_2019_2024_style_02.png,derived_development_sample
window_2019_2024_style_03,window_2019_2024,style_03,2019,2024,6,data/generated/charts/development/window_2019_2024_style_03.png,derived_development_sample
window_2020_2025_style_01,window_2020_2025,style_01,2020,2025,6,data/generated/charts/development/window_2020_2025_style_01.png,derived_development_sample
window_2020_2025_style_02,window_2020_2025,style_02,2020,2025,6,data/generated/charts/development/window_2020_2025_style_02.png,derived_development_sample
window_2020_2025_style_03,window_2020_2025,style_03,2020,2025,6,data/generated/charts/development/window_2020_2025_style_03.png,derived_development_sample
window_2019_2025_style_01,window_2019_2025,style_01,2019,2025,7,data/generated/charts/development/window_2019_2025_style_01.png,derived_development_sample
window_2019_2025_style_02,window_2019_2025,style_02,2019,2025,7,data/generated/charts/development/window_2019_2025_style_02.png,derived_development_sample
window_2019_2025_style_03,window_2019_2025,style_03,2019,2025,7,data/generated/charts/development/window_2019_2025_style_03.png,derived_development_sample
