example_id,chart_id,chart_group_id,style_id,window_start,window_end,image_path,claim_id,first_year,second_year,claim_text,label,claim_type,source_kind,split
window_2019_2022_style_01_claim_001,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_001,2019,2020,The EU unemployment rate was higher in 2020 than in 2019.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_01_claim_002,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_002,2019,2020,The EU unemployment rate was lower in 2020 than in 2019.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_01_claim_003,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_003,2019,2020,The EU unemployment rate was higher in 2023 than in 2020.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_01_claim_004,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_004,2020,2021,The EU unemployment rate was lower in 2021 than in 2020.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_01_claim_005,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_005,2020,2021,The EU unemployment rate was higher in 2021 than in 2020.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_01_claim_006,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_006,2020,2021,The EU unemployment rate was higher in 2023 than in 2021.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_01_claim_007,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_007,2021,2022,The EU unemployment rate was lower in 2022 than in 2021.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_01_claim_008,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_008,2021,2022,The EU unemployment rate was higher in 2022 than in 2021.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_01_claim_009,window_2019_2022_style_01,window_2019_2022,style_01,2019,2022,data/generated/charts/development/window_2019_2022_style_01.png,claim_009,2021,2022,The EU unemployment rate was higher in 2023 than in 2022.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_02_claim_001,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_001,2019,2020,The EU unemployment rate was higher in 2020 than in 2019.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_02_claim_002,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_002,2019,2020,The EU unemployment rate was lower in 2020 than in 2019.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_02_claim_003,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_003,2019,2020,The EU unemployment rate was higher in 2023 than in 2020.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_02_claim_004,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_004,2020,2021,The EU unemployment rate was lower in 2021 than in 2020.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_02_claim_005,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_005,2020,2021,The EU unemployment rate was higher in 2021 than in 2020.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_02_claim_006,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_006,2020,2021,The EU unemployment rate was higher in 2023 than in 2021.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_02_claim_007,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_007,2021,2022,The EU unemployment rate was lower in 2022 than in 2021.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_02_claim_008,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_008,2021,2022,The EU unemployment rate was higher in 2022 than in 2021.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_02_claim_009,window_2019_2022_style_02,window_2019_2022,style_02,2019,2022,data/generated/charts/development/window_2019_2022_style_02.png,claim_009,2021,2022,The EU unemployment rate was higher in 2023 than in 2022.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_03_claim_001,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_001,2019,2020,The EU unemployment rate was higher in 2020 than in 2019.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_03_claim_002,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_002,2019,2020,The EU unemployment rate was lower in 2020 than in 2019.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_03_claim_003,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_003,2019,2020,The EU unemployment rate was higher in 2023 than in 2020.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_03_claim_004,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_004,2020,2021,The EU unemployment rate was lower in 2021 than in 2020.,supported,true_comparison,derived_development_sample,train
window_2019_2022_style_03_claim_005,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_005,2020,2021,The EU unemployment rate was higher in 2021 than in 2020.,refuted,false_comparison,derived_development_sample,train
window_2019_2022_style_03_claim_006,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_006,2020,2021,The EU unemployment rate was higher in 2023 than in 2021.,not_enough_information,outside_chart_range,derived_development_sample,train
window_2019_2022_style_03_claim_007,window_2019_2022_style_03,window_2019_2022,style_03,2019,2022,data/generated/charts/development/window_2019_2022_style_03.png,claim_007,2021,2022,The EU unemployment rate was lower in 2022 than in 2021.,supported,true_comparison,derived_development_sample,train
